Name of the Part,Quantity,Individual Price,Total Price,Status,Link
5A ATO Blade Fuses,1,4.99,4.99,Not Owned,https://www.amazon.com/40Pcs-Standard-Automotive-5A-Motorcycle/dp/B0CS3TL3WZ/ref=sr_1_9?crid=2ZKWL2NGB4YT&dib=eyJ2IjoiMSJ9.XP8MCvAA5CgcEouV4oSvm-ljK5H43-G_J2ZsPQyQ_b7wE0P7pQ0_gsY9-YzKTJJhbo4qH1a0OgrgKuumrVefNZ_CuJJwcmCfdSZtyI2otu3AGuSMlxjd3vg_rI3RKhlyMFrtpkh7zQ-ZF0i88baXuUOnrP0P-Pvmg20hgmKyz7FL8h8LGRkQoJYGb5oPQ21tQ3BxAn1wid6_5cqalOsrkuPggOS_ijMr68HDxETfkyk.wVY2HMawSERWYJW04I7J2vdf2YIXZUw3gDvG-I5IcF4&dib_tag=se&keywords=5A%2BATO%2Bblade%2Bfuses&qid=1782225579&sprefix=5a%2Bato%2Bblade%2Bfuses%2Caps%2C259&sr=8-9&th=1
22 AWG Speaker Wire,1,5.18,5.18,Not Owned,https://www.amazon.com/Electrical-Gauge-Silicone-Cable-Black/dp/B0746HG158/ref=sr_1_3?crid=19U1NFYX3YD2O&dib=eyJ2IjoiMSJ9.iuGBqpYuNQ9MFT7fpAHtzOrvUHB86PlIFOjTl1I28jgFreMRzfsehnqNkXJq_aHcnXmgGBOj3ZDyz7zizhqK-XrPL2ZeSt9xh_W6byEucUkOQiK4I3oRYhnb7iJIRAf8BWS0mU6PLs14Bz52k0uNX1nSH5AAXOA_iH1qR8ytYHNab918JuOT8qEmC7Q-xkXNV7wYdCl2LvxvRtiZbrHBlw1iKR87hV_XgtsJJk8R7oC9LCxbEHEo-u4yB5ZT7OYHCUkBJPt4oTsx5ybGOM60Da7LHERfo8kLSn-Okl3G6D8.Z2QNmTNPAI1sI-T89faWUKiNcweGqISMmhRZFr4dGBM&dib_tag=se&keywords=22%2BAWG%2Bstranded%2Bspeaker%2Bwire&qid=1783788864&s=hi&sprefix=22%2Bawg%2Bstranded%2Bspeaker%2Bwire%2Ctools%2C141&sr=1-3&th=1
Battery Holder (No solder assembly),1,9.95,9.95,Not Owned,https://www.amazon.com/JESSINIE-Parallel-Battery-Holder-Storage/dp/B0DLGNJYCF/ref=sr_1_4?crid=MZVO07V3QNSL&dib=eyJ2IjoiMSJ9.Qf2Yh78jJ26lHzUZQoK_0Fy6j5uhK5n7uw5S7wesMx7Vi7davlSlMmWPjCCR9FjnWSYc89fclKGCinUIxoI43UdRanGySHXFhWfv5k3Z1Ddi50TCA0VWXCuyPr2du9YPZBFeOGv4N1R4m8rKDAxwjyEpfcwA2ajuOkaZBvZCb-fMjeS2swtWDv7BqGXZ_nxcJgk_bTd47e7lkbpSFSM5PxHzMMju83VdiKTk3EHAYAY.t0W-I4xffcEaUeb4kmTFC6j7RUZHy2--ilzr_aro5KU&dib_tag=se&keywords=18650+battery+holders&qid=1782685255&sprefix=18650+battery+holders%2Caps%2C186&sr=8-4
,,,,,
120 Pcs 6 x 6mm x 5mm Momentary Tactile Tact Push Button Switch for PCB 4 Pin DIP Black,1,2.69,2.69,Owned,https://www.aliexpress.us/item/3256808710270766.html?spm=a2g0o.productlist.main.10.590aGqOuGqOumO&algo_pvid=0ab6e438-a207-4ee3-a6f9-aeed1e995638&algo_exp_id=0ab6e438-a207-4ee3-a6f9-aeed1e995638-9&pdp_ext_f=%7B%22order%22%3A%221645%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.86%210.99%21%21%2119.35%216.70%21%402101e2b617826626533238492e01c9%2112000047112512975%21sea%21US%217848567536%21ABX%211%210%21n_tag%3A-29910%3Bd%3A548d1a24%3Bm03_new_user%3A-29895%3BpisId%3A5000000207262906&curPageLogUid=6Tx3cFUua7Z6&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008896585518%7C_p_origin_prod%3A
"Jumper Wires (Female, Male, Male to Female)",1,1.63,1.63,Owned,https://www.aliexpress.us/item/3256807295409346.html?spm=a2g0o.productlist.main.4.3cf1QedYQedYL4&aem_p4p_detail=20260703194906648187799486590002914588&algo_pvid=a858d4e3-c42d-4c2d-95a3-636f9acdb52e&algo_exp_id=a858d4e3-c42d-4c2d-95a3-636f9acdb52e-3&pdp_ext_f=%7B%22order%22%3A%221847%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.66%211.63%21%21%2111.22%2111.01%21%402101e80317831333459815322ea697%2112000040928846413%21sea%21US%217848567536%21X%211%210%21n_tag%3A-29911%3Bd%3A548d1a24%3Bm03_new_user%3A-29895&curPageLogUid=hvfW5v3FvsVu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007481724098%7C_p_origin_prod%3A&search_p4p_id=20260703194906648187799486590002914588_1
,,,,,
Pi Zero 2 W aluminum heatsink kit ,1,2.79,2.79,Owned,aliexpress.us/item/3256803606917294.html?spm=a2g0o.order_list.order_list_main.10.625d18028ShTLz&gatewayAdapt=glo2usa&_randl_shipto=US
Capacitor Assortment Kit,1,9.99,9.99,Not Owned,https://www.amazon.com/Tnisesm-Electrolytic-Capacitor-Assortment-Capacitors/dp/B0G5X62C69/ref=sr_1_24?dib=eyJ2IjoiMSJ9.OMAhckewDdw7ify-8AoPOpORqZrF3Vn-bmMM4NNXMwvLhiC2LgFZZKLgCEdmkICvUt9-wfepPTIBcNnh0H-1aYBUiZFxK_11QzN5LhUj6K_rqBqv9kx8O8QqYRskM5Ryjd97O3XrhXG1Nxybx5iQheENXVgu7S5ZWgolwkotArKjXU4FfZRBpj2v4wIPxDFJOw9dhwIMaobm9wOH62y7HNFEaaX_Er4TAvllyWZEb9thM-CagWYSDFlFEwUKuPfMbn9ZcGaA5XpI-lHRlFkU_vQesXSH9deWFIlvm3k1ZiU.C1fLE6kDVzAcWqYQcqKglRb_OFgj8VU3Y8ljACiZEt4&dib_tag=se&keywords=25%2BV%2Bcapacitor%2Bpack&qid=1782680774&s=industrial&sr=1-24&th=1
"3A 250V Fast-Blow Glass Fuses, 30PCS 5x20mm 3 amp Electronic Fuses Replacement for Christmas Lights, Appliances & Electronics - 0.2x0.78 Inch (3A)",1,4.99,4.99,Not Owned,https://www.amazon.com/dp/B0FHDFCJM5/ref=twister_B0FHD95CM5?_encoding=UTF8&th=1
